,name,id,popularity,genres,followers,image_url
2011,Danxelle_,4q8xU0qiQqgSo0WNsPD8s4,0,None,420,https://i.scdn.co/image/ab6761610000e5eb6447628dc81069876bb508dd
2012,Arcane Soakes,27VrgIGzcTygvqaWyOJCKc,0,None,240,https://i.scdn.co/image/ab6761610000e5ebd07a1ae480ae207eee99b035
2013,HB Youngin',0SfSaEKTVe0kAHsV9uVDjX,0,None,218,
2014,Dmoney,70E6ZuvZqFULtD9GfnLMX5,0,None,24,https://i.scdn.co/image/ab67616d0000b2739d061de1f14f7911451158d7
2015,The Free Agents,5ujtnCu8s4WnE5ntvlVSUA,0,None,80,https://i.scdn.co/image/ab6761610000e5eb9674ab1b5bea41e06b32f105
2016,Gee,1ZoS5IfEcaWwbhRqPkMho6,0,None,446,https://i.scdn.co/image/ab6761610000e5eba29ba49aa60853440e77779d
2017,Keita,0W8hZ4RZEmZo3w5z0jV5pa,0,None,563,
2018,Leslie Lyrics,5Z7aPahI3HRr0sCakahmIW,0,None,36,https://i.scdn.co/image/ab67616d0000b273776990b764afeb132fd4276b
2019,Asphate Woodhavet,50iYtUcQa4Lk8jVbF5kEIS,0,None,12,
2020,C-Scripture,0UmoEAzs9YLdIGCuenEKOV,0,None,859,https://i.scdn.co/image/ab6761610000e5eb42f85aeb5caefa7841b04457
2021,XY Only,6mEFdjdYLCLn2P2yqlacnT,0,None,10,https://i.scdn.co/image/ab67616d0000b2734e1a4ab5956d8078f39aba5f
2022,ARZU DONNA,7hxdx4nVrIOGh2cq6q1bjV,0,None,7,https://i.scdn.co/image/ab67616d0000b273b364e59ddd7ccde4027c31a2
2023,Miss Benzo,4LI8Wb0r1EGqUzpcFVHnim,0,None,223,https://i.scdn.co/image/ab6761610000e5ebb24997e2e9cc6fe9db185885
2024,Xvideo Token,6AJ1tjDBletSq5NEFqZBHK,0,None,926,https://i.scdn.co/image/ab6761610000e5eb83346ce5cf525acac2b9b268
2025,We Stain Porcelain,052xU8KJaHxDZFsHUzCNbu,0,None,68,https://i.scdn.co/image/ab67616d0000b273de0133438cc42653d83c9920
2026,Eastborn,5CjnmpKW9NYYpsBHgMn8Uo,0,underground hip hop,25,https://i.scdn.co/image/ab67616d0000b273e768491ceeaed629ed5e3214
2027,KamiKaze,45Oekmp7FXm4qgauMYYjSx,0,None,10728,https://i.scdn.co/image/ab6761610000e5eb96eabfe6c163f8336f8c083c
2028,Dead residents,0ux31VxqifY4hmUXE5EM1y,0,None,135,https://i.scdn.co/image/ab67616d0000b2730194e7348a9bb34cd92a7e42
2029,Beck Cohen,3MavXkrKE9SWQRy1zhPSzy,0,None,1,https://i.scdn.co/image/ab67616d0000b273f56d0851985e267db8ff7d66
2030,Mari Boy Mula Mar,3pc1bz6VajcNqVYj9s8KkR,0,None,293,
2031,Gseven,28cTzDAHPcAf8xDAShjIpt,0,None,51,https://i.scdn.co/image/ab6761610000e5eb2411e1c53523dd709b1edc9e
2032,Kawyla Jay,0mLAlulZscLzpd2szjzPWB,0,None,20,https://i.scdn.co/image/ab67616d0000b2733c3feda32794cd7927dc583d
2033,Astronuutti,2Gh5wndHKUd96BnUbZO4jI,0,None,13,https://i.scdn.co/image/ab67616d0000b273d24776b5f0d43e94259c546e
2034,Kae The Goat,3iwaZqNe3sXfJtMcDka5hD,1,None,217,https://i.scdn.co/image/ab67616d0000b27321a837d4801e537cc9903baa
2035,Ayat,6aPfmVjLxhMC6a6FwJrhBI,0,None,20,
2036,K$ The Kid,03siKEfVQW2Buj6fdm7DH4,1,None,485,https://i.scdn.co/image/ab6761610000e5ebfac1056c8be59abc4b45668b
2037,Yung Kraken,1gHmMbzJa0XxFkfT9mGNS3,0,None,71,https://i.scdn.co/image/ab6761610000e5eba4ce8565c5cae0d9b0b99378
2038,Sway Montoya,4OndNYqLpN7oT7o7GRkrEE,0,None,128,https://i.scdn.co/image/ab6761610000e5eb5ea685b4cf2a11f80deed4d7
2039,Jefferson Herveille,1lttK83TTW97K2LGRmG3YI,0,None,19,https://i.scdn.co/image/ab6761610000e5eb5bdb2fd2f2f51e63c660ca62
2040,King Coogi,5EHMtXLIleX9KOfm1raTNw,0,None,61,https://i.scdn.co/image/ab6761610000e5eb8e35785bbf14075f2ef0f415
2041,Mike Beatz,6HdFcJaL8AvsjxvfuIIln8,0,None,245,https://i.scdn.co/image/ab6761610000e5ebf5f2875c4f00b4ef2e9bae14
2042,Lee Love,4EOPPsxa7OpeoqIxrOQyIx,0,None,60,https://i.scdn.co/image/ab6761610000e5ebeb9bcc4f058adf0c599b9768
2043,"NoFace, Rapper",1Yrp7xR1sg8P3YX6NscgLN,0,None,34,https://i.scdn.co/image/ab6761610000e5ebd6ddfbeebe8a48eb9844c8d5
2044,J.A.D,5zAaJiZzuYTrlmelnDuVIz,0,None,2,
2045,Allison Victoria,5XuisSHfwCeoJHTWE28Tdt,0,None,288,https://i.scdn.co/image/ab6761610000e5eb76f9d3567bd7ab04f3e4c875
2046,Carlos Dwayne,4U7IgCNPe2QsWQJ1OERFBf,0,None,129,https://i.scdn.co/image/ab6761610000e5eb99f6aeffe0eba1b3fd5c9a47
2047,AGE McSoul,15Dvpez4SXjQRWSCdQLymw,0,None,14,https://i.scdn.co/image/ab6761610000e5eb140c97be23fcf66ed9c610e8
2048,Dyl-E Goat,3lWDvg1wkRD5lCUINPUbIW,0,None,41,https://i.scdn.co/image/ab6761610000e5ebb02466692a55c0614bcfafd0
2049,STPH So Low,7rDR7ptP0XAxlh8vhWF1sU,2,None,200,https://i.scdn.co/image/ab6761610000e5eb042386f13ffeeff740831bf1
2050,Btl Dre,3Fvvm6esK8rwmOTsNFnpIc,1,None,464,https://i.scdn.co/image/ab6761610000e5eb513d74b341c74466d178902f
2051,TUCK TEEZY,67WbOcfmkJclDxRs1j5vS7,0,None,14,
2052,Mariah Ivey,1fNAXvXaa6OkH0s4UMovIU,0,None,7,
2053,TwinAsh,21m55wfek60QYBNUJVvVBI,0,None,83,https://i.scdn.co/image/ab6761610000e5ebd8a5f23c1a69d422e7992b69
2054,Baska,6Z74QZHjlD0QkINELfpoLA,0,None,24,https://i.scdn.co/image/ab67616d0000b2730d45f2cbcd550f01f17e0aca
2055,Jay Esco,4P18v8ZRPBag0zVnOrthhk,0,None,48,
2056,First Frontal Assault,4V25UutP4brJcSavDMdgGu,1,hardcore hip hop,387,https://i.scdn.co/image/ab67616d0000b273fecddea77adf5d6ed6e98d5f
2057,Reina Love,43r9LuNkrJceargEDJAea3,0,None,38,https://i.scdn.co/image/ab67616d0000b2736ac93b1b6eab07b8ac04c4bc
2058,Blast Ave,1zMQ6psFGacro9Zip4K8Yy,0,None,28,https://i.scdn.co/image/ab6761610000e5eb35920f33f4dc529328f2d955
2059,Young Stunners,3rTmhMl5w3LOSS7Qg5a60r,0,None,46266,https://i.scdn.co/image/ab67616d0000b273815eedade927abf033c75a55
2060,Traya,6v0lMy9qO5qjAsRC5KAIvP,0,None,10,https://i.scdn.co/image/ab67616d0000b2733c586dad795754a0da6a3738
2061,Chris Bxnnxtt,0dzXmAocqvbvrteHrZIJKY,0,None,66,
2062,T.H.Q,2gQGzkMh74kodXXFGN4avl,0,None,82,https://i.scdn.co/image/ab6761610000e5eb75c047a0c3f3486bfed4c77c
2063,Daddyisme,1lZyctpRmpVJJLHiUH9RLo,0,None,8,https://i.scdn.co/image/ab67616d0000b273533653a7fa601bc8752d6c3d
2064,Nan$ki,2FnCO1vOggPE3HApCkWVTM,0,None,83,https://i.scdn.co/image/ab6761610000e5ebb64015e717290f8ba2a8be10
2065,Mollah Morgun,1B4qQFqDoCQILBDZaIGwSI,1,None,84,https://i.scdn.co/image/ab67616d0000b27379c8027d68caa6bd6e25f9b3
2066,3ki Stil,5Wn2apGxTVogZRI54hJHEz,0,None,362,
2067,Gee Blingo,7DkI1f9CueIhFhtLmKOEkj,0,None,82,https://i.scdn.co/image/ab6761610000e5eba9637f81175f89be32c44e80
2068,Kung Foo Grip,52zbDqBv1tuK1bG5XL60sf,0,None,556,https://i.scdn.co/image/ab67616d0000b273416b7ce8f6e5672db7047309
2069,L.E.O.,3Z2wwxRNRsC4gqjKHmHiaL,0,None,956,
2070,Yung2,3M6epp1tTiPSjMHTWTyr26,0,None,149,https://i.scdn.co/image/ab67616d0000b273650224a34d71610f6cd381e3
2071,Nino,1egvC6zcg17Bpb8brtob0e,0,None,55,https://i.scdn.co/image/ab6761610000e5eb7617318f94806e4df3322918
2072,MILE,2NNgAzzOtUjBfoul9sm7r8,0,None,72,https://i.scdn.co/image/ab67616d0000b2736d105774e588412750f4e7bb
2073,EL pheno telli,0A25uRlH8BBwc7i0r0pJoZ,0,None,0,
2074,Khetwayo,4pdkVkXcxCgDOnx3uDfkfr,2,None,719,https://i.scdn.co/image/ab6761610000e5eb829db56a7565f37d6bc5bb9c
2075,fairview huna,5aKAgGnpEBuqHowanEwCnw,0,None,1120,https://i.scdn.co/image/ab67616d0000b273e1e7151a4e4904357b1dcb11
2076,Tsevibes,7ypJf6ERSQt8196OuxPSAr,0,None,46,https://i.scdn.co/image/ab6761610000e5eb607103a6647696bdfca91bd2
2077,Moufy,5GQPLL6V4VqiIOipkB8oMk,0,None,2787,
2078,Ammorelle,5v4xydg7wA3qVaMNIJ48JE,0,None,154,https://i.scdn.co/image/ab6761610000e5ebdb568d5230d739e20042c62b
2079,Ali Dahesh,3dbODXMtKSOVLJLJiJANKS,0,None,141,
2080,TinTin V.,718cjVNDUfjL607cc8uDY6,0,None,66,https://i.scdn.co/image/ab6761610000e5eb5f595b6efe882198a989c00c
2081,IndieHuman,3Gf9RGyfnzfVHS1l8b43oE,0,None,24,https://i.scdn.co/image/ab6761610000e5eb7929ad77e7181a77578c738f
2082,Yamakashi,4QAa9W0iht9c5oStH3Qo6E,0,None,6,
2083,24 Kara,0Dh5FivQv4K3MPb6sowy95,0,None,8,https://i.scdn.co/image/ab67616d0000b273ecd5b5f69a7aae98ba2e6ae5
2084,Schlatt,3sH5WLu1nFvViXX8ejO1Aq,0,None,158,https://i.scdn.co/image/ab6761610000e5eb1f2b916059c449e194446b50
2085,AMIR,3IiiaAZHKU68Nj7oxtNmuj,0,None,111,https://i.scdn.co/image/ab67616d0000b273000a3b6a79a4e9ea4421b5b7
2086,Ma Rie,18gI0qwRK6YBVW0NQxQnmU,0,None,37,https://i.scdn.co/image/ab6761610000e5eb409c3aca9329b13165516da4
2087,Team Next,5yeqIyaHEMe2N6b6zff8Zy,0,None,13,
2088,Cos#420,1RgSTfam61PvICsAXTVAzV,0,None,146,https://i.scdn.co/image/ab6761610000e5eb52dd86c75233dbfba8043c0f
2089,Ras Jahlil Negasi,7hMWBuuB3it2hp56Za3KNy,0,None,152,https://i.scdn.co/image/ab6761610000e5ebc6556ef048ce1e7ae1f8487d
2090,Idem Ignoti Tribu,3K0oWQWYClGhUSK3BsTIpT,0,None,220,https://i.scdn.co/image/ab6761610000e5ebc57ac4e020bd3b1b99122855
2091,Janea Pol'anrhy,5KzE0vEnGxxiRHtbYmEXV4,0,None,87,https://i.scdn.co/image/ab67616d0000b273d2a07c699523b9d433000036
2092,Krishenjit Sharma,5BqQNR3hhebAC0aDvR4k4O,0,None,13,https://i.scdn.co/image/ab67616d0000b273b524219a891dceb4915bfcd0
2093,Prospeck,2O2peWB7st7oMLqmQmJdHW,0,None,64,https://i.scdn.co/image/ab6761610000e5eb06ff2fe34a116d39cc445350
2094,O.G. Boo Dirty,2WflHYJWSSJjQvqOkFPapZ,0,None,800,
2095,Que Hitta,7wmUwvIylQfI6dy8KhSovH,0,None,3149,https://i.scdn.co/image/ab6761610000e5ebc2e67085f4a85a1975e8746c
2096,Radley,6ufLVVv3t9pdWDyh4gd0Xr,0,None,35,https://i.scdn.co/image/ab6761610000e5eb82f3bc2dbb979de3b53018e0
2097,Sezo,5SPVSVnWqnxRAGdbSn3SyP,0,None,70,https://i.scdn.co/image/ab6761610000e5eb6942a2625e93e81ec77a13a9
2098,Beni Bjah,2X6wat12I02bZhhbIKgcmY,3,None,610,https://i.scdn.co/image/ab6761610000e5ebbda8c3d40ac2f3f2a35af081
2099,Kenny Black,1pcYJULP2oe5CbDO8aMbuE,0,None,250,https://i.scdn.co/image/ab6761610000e5ebc9beecf247df9987c05e8a13
2100,Snoopah Dirty sound,2gzAyXJCna1jfSTrpDXx9W,0,None,26,https://i.scdn.co/image/ab67616d0000b273e45d01b97b04b8f0d6501f81
2101,Kane,6xuf68YFp5fytE2SrUeFLX,0,None,23,https://i.scdn.co/image/ab67616d0000b27399b4282d8c1a16c06eabf3f9
2102,Lill Ghunda,29oSTM6mrnCbJzxl5dZosv,1,None,71,https://i.scdn.co/image/ab6761610000e5eb9451952c99a64a717b82d4fe
2103,Curtis Plum,6avbwNb1Azrw0T5d0l7il7,1,None,288,https://i.scdn.co/image/ab67616d0000b273f5d03a177fcaf470e62f4ae3
2104,Antido.Te,0SQN7UAcq2ALngt73zLm3G,0,None,115,https://i.scdn.co/image/ab6761610000e5eb56a83559ab6195d7f6978c4b
2105,C-Mal,2iH3iRhj8j6TNKD35Sp63K,0,None,18,
2106,Ciaran Mac,6tgZELDkNID3lFzxDcryDT,0,None,6,
2107,SwagerBoyMusic,50Gtby1S3nPaEyLJFYo9Mq,0,None,14747,https://i.scdn.co/image/ab6761610000e5eb340701fc69a3f9c37b9ce88e
